股票代码,股票简称,年份,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),所处行业
603811,诚意药业,2018,0.22,82311022.42,14175244.38,4.93,16.4785892964,6.780193460681,-0.089728365258,45.9756904694,-23.7709,化学制药
603811,诚意药业,2019,0.21,123030509.22,17826632.26,2.93,49.4702721492,7.246451950939,0.310235803521,58.5260785934,7.8144,化学制药
603811,诚意药业,2020,0.2,146188329.21,24121526.31,3.58,18.8228270669,5.741921514839,0.333484251593,68.4874956715,0.0277,化学制药
603811,诚意药业,2021,0.15,151823371.61,24492802.7,3.19,3.8546458739,6.547052475268,0.111515211519,66.7458332702,-16.5972,化学制药
603811,诚意药业,2022,0.2,171203254.14,45839777.42,5.11,12.7647557319,5.508118877671,0.12018291475,74.1436540664,-30.3484,化学制药
603811,诚意药业,2023,0.12,159649283.42,28920557.2,2.89,-6.748686395,4.335469766943,0.145010776265,70.9511360361,-6.217,化学制药
603813,原尚股份,2018,0.17,89437728.34,11155517.86,3.4,0,0,0,27.3536080512,-8.1809,物流行业
603813,原尚股份,2019,0.11,117465713.23,10109771.29,1.77,31.3379883526,6.523078151467,-0.08524869582,19.3132630162,7.4904,物流行业
603813,原尚股份,2020,0.15,245254819.58,13441235.67,2.17,108.7884309695,6.976979428587,0.286249869012,13.7465152602,22.6961,物流行业
603813,原尚股份,2021,0.005,68962563.85,485498.51,0.072,-56.2616802256,7.509629790752,0.171388023678,20.8831967172,-56.8657,物流行业
603813,原尚股份,2022,0.04,106189631.25,3520268.91,0.716,53.9815594457,5.558766806673,0.472329956973,23.2771199213,21.0189,物流行业
603813,原尚股份,2023,0.14,132544856.74,12058958.67,2.29,24.8190196912,5.999784660517,0.426905886216,24.0560718795,-16.4127,物流行业
603815,交建股份,2020,0.04,412247630.58,17121623.26,2.18,0,0,0,8.945826582,-63.0789,工程建设
603815,交建股份,2021,0.03,325272296.1,13189494.67,1.21,-21.097837326,2.198465016172,-0.792055536393,8.6131068388,-66.255,工程建设
603815,交建股份,2022,0.04,658459128.19,21345734.81,1.66,54.472984716,2.295034614569,-0.518549350361,8.7326124536,-61.4934,工程建设
603815,交建股份,2023,0.05,886478928.5,31801338.93,1.51,34.6293020399,3.371662207847,-0.732493345829,6.7365989884,-55.4942,工程建设
603816,顾家家居,2017,0.42,898660747.55,140092237.99,13.5,0,0,0,41.6817645804,-19.5894,装修建材
603816,顾家家居,2018,0.46,1380053186.45,187848743.4,5.32,53.5677607164,8.788845519152,0.236313389915,37.8817175101,-10.749,装修建材
603816,顾家家居,2019,0.65,1852336552.28,268439807.53,6.47,34.2221133553,10.025593617196,0.046240322511,36.4536499228,1.9189,装修建材
603816,顾家家居,2020,0.51,2459761740.03,295384959.5,6,32.7923771197,10.947471902565,0.577619456996,34.7298301863,-11.4925,装修建材
603816,顾家家居,2021,0.52,2287724914.92,306628663.08,5.11,-6.9940442731,9.585096721635,-0.666733325851,32.8300501958,-31.0679,装修建材
603816,顾家家居,2022,0.62,3781962929.13,385051539.4,5.59,65.3154583606,11.13394658215,0.209635982556,29.195793782,-8.2331,装修建材
603816,顾家家居,2023,0.54,4540187518.63,443235082.66,5.39,20.0484405508,13.327578323479,-0.82638919776,29.8503180659,-11.2694,装修建材
603817,海峡环保,2017,0.0723,81581612.01,24409315.24,2.89,0,0,0,54.4062954708,-4.1912,环保行业
603817,海峡环保,2018,0.0597,85552195.6,22389203.43,2.08,4.8670080085,3.039417225911,0.100916761067,55.7976227439,0.0509,环保行业
603817,海峡环保,2019,0.054,88574280.47,24286873.62,1.7,3.5324457179,3.198688249022,0.107866796533,50.176646092,1.0917,环保行业
603817,海峡环保,2020,0.0683,139301501.71,30712998.62,2,57.270825087,3.449159496067,0.288469115489,47.157504308,-15.4936,环保行业
603817,海峡环保,2021,0.0756,145894436.27,33999496.91,1.97,4.7328524668,3.710061224941,0.566095620529,43.9652685256,-16.9618,环保行业
603817,海峡环保,2022,0.0731,191045948.19,32917717.14,1.8,30.9480697649,3.938657632533,0.263113057368,40.8647460256,-8.3267,环保行业
603817,海峡环保,2023,0.0884,252562126.63,39805661.09,2.03,32.1996771053,4.223012164658,0.09893793773,39.0635828089,-8.6481,环保行业
603818,曲美家居,2015,0.06,185773500.68,10209226.07,1.83,0,0,0,33.5811328751,0,装修建材
603818,曲美家居,2016,0.02,203128410.53,6306812.91,1.01,9.3419727714,3.318748278231,-0.090968095681,35.2914753495,-35.5645,装修建材
603818,曲美家居,2017,0.03,249235821.57,15698598.75,1.28,22.6986520102,2.554361088139,-0.00780063509,38.6409513662,-32.1503,装修建材
603818,曲美家居,2018,0.05,342967810.34,24915615.61,1.79,37.6077516384,2.906548347104,-0.000628829051,37.6824268149,-36.2243,装修建材
603818,曲美家居,2019,0.06,394488232.83,28021313.35,1.75,15.0219411084,3.343369680968,-0.109747385462,36.2710474514,-40.6438,装修建材
603818,曲美家居,2020,0.02,1005115201.05,11794437.48,0.87,154.7896533794,2.876946534141,0.283093584125,46.7050622396,-16.3874,装修建材
603818,曲美家居,2021,-0.07,839424508.68,-33862337.94,-2.28,-16.4847464447,2.538653601295,-0.072035684798,44.6682042641,-33.9056,装修建材
603818,曲美家居,2022,0.11,1149115901.46,61402125.16,2.33,36.8932988706,3.808240104226,-0.090885027384,38.4402959822,-16.5768,装修建材
603818,曲美家居,2023,0.1,1312907201.48,58147422.86,2.81,14.2536797038,3.653585628929,0.030853886894,35.5788436535,-1.3237,装修建材
603819,神力股份,2017,0.14,131593894.4,12337433.07,2.62,0,0,0,18.5576479831,0.0373,电机
603819,神力股份,2018,0.09,145434789.96,10894166.57,1.49,10.5178858207,6.149994372583,-0.29466433,16.8310543486,-1.4406,电机
603819,神力股份,2019,0.04,203649735.85,4782386.92,0.64,40.0282118921,6.199425370551,-0.171668979474,10.3310613157,1.212,电机
603819,神力股份,2020,0.06,253203132.74,7436697.53,0.95,24.3326595457,6.276954437169,-0.683116019454,12.8522016603,-7.9694,电机
603819,神力股份,2021,0.03,225042798.38,4587308.25,0.59,-11.1216374202,4.648687225715,-0.137453754054,11.3384801885,-24.2081,电机
603819,神力股份,2022,-0.01,290411485.88,-2261752.78,-0.3,29.0472247815,3.502168168716,-0.493381738105,11.156938632,21.2728,电机
603819,神力股份,2023,0.13,371045571.12,28669198.25,3.52,27.7654601007,3.831354001501,0.134655042711,20.32775274,-12.2264,电机
603822,嘉澳环保,2016,0.0545,99212453.23,2999420.37,0,0,0,0,15.3869302724,0,化学制品
603822,嘉澳环保,2017,0.0892,94882179.14,4905451.11,1.19,-4.3646477322,7.512346412,-0.743938807273,17.777058203,-20.727,化学制品
603822,嘉澳环保,2018,0.0599,183161516.2,4394163.23,0.69,93.0410092392,8.492480439809,-0.142080256851,14.0776295234,0.6788,化学制品
603822,嘉澳环保,2019,0.1184,198704698.77,8685056.33,1.2,8.4860525794,9.424866746149,-0.106345350648,13.1031653711,-22.7909,化学制品
603822,嘉澳环保,2020,0.0706,208000230.36,5178395.86,0.69,4.6780633007,9.732983065343,0.585564091463,11.7142717524,-22.104,化学制品
603822,嘉澳环保,2021,0.0962,240484967.46,7055976.17,0.9,58.5555064767,10.143746456194,-0.904035003096,13.9434985913,-19.1281,化学制品
603822,嘉澳环保,2022,0.2862,318726377.14,20997058.17,2.52,32.53484428,10.911084258796,-0.142348956185,21.5464309343,35.1916,化学制品
603822,嘉澳环保,2023,0.383,516622293.8,28097973.53,3.06,62.0895949798,12.197399430389,-0.2957757879,12.5977079098,-22.5475,化学制品
603823,百合花,2017,0.17,320416131.02,30663319.59,4.84,0,0,0,25.2116017576,0,化学制品
603823,百合花,2018,0.12,357929252.96,26748177.03,2.27,11.707625899,5.296785852356,-0.071052004178,17.9121269636,6.8777,化学制品
603823,百合花,2019,0.17,386509598.39,37151262.24,2.88,7.9849146706,5.8090622224,0.046687668311,22.2445597388,-8.8002,化学制品
603823,百合花,2020,0.17,458927880.82,37146022.2,2.58,18.7364771099,6.470720885822,0.143364386133,19.3271202049,0.5182,化学制品
603823,百合花,2021,0.14,388700608.48,31434620.61,1.96,-15.3024636931,7.195127070844,0.1097142644,22.0209515197,-21.3388,化学制品
603823,百合花,2022,0.24,596323704.15,74719108.97,4.12,53.4146567153,5.831735662925,0.05737508051,26.5588528509,2.0412,化学制品
603823,百合花,2023,0.21,646323104.51,66752804.11,3.25,8.3846072212,6.577010800666,-0.169606814539,21.5777312349,1.9718,化学制品
603825,华扬联众,2018,0.03,1460283664.09,3274976.42,0.51,0,0,0,11.9381496025,-32.9549,文化传媒
603825,华扬联众,2019,0.02,2013711890.18,4392076.93,0.36,37.8986795305,7.756343727285,-1.49525402757,10.0332785994,-23.3883,文化传媒
